fixture_name,fixture_software_version,operator_id,timestamd,colors,asset_name,fov_v_deg,fov_h_deg,grill orientation,spatial_frequency_apd,spatial_period_lea_px,ctf_percent,michelson_percentile_min,michelson_percentile_max
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_1_v_B.png,-5.6,-5.6,v,16.9cpd,2pixel,25.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_2_v_B.png,-5.6,-5.6,v,8.45cpd,4pixel,41.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_3_v_B.png,-5.6,-5.6,v,5.63cpd,6pixel,58.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_1_h_B.png,-5.6,-5.6,h,16.9cpd,2pixel,7.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_2_h_B.png,-5.6,-5.6,h,8.45cpd,4pixel,28.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_3_h_B.png,-5.6,-5.6,h,5.63cpd,6pixel,52.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_1_v_B.png,-5.6,-2.8,v,16.9cpd,2pixel,22.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_2_v_B.png,-5.6,-2.8,v,8.45cpd,4pixel,43.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_3_v_B.png,-5.6,-2.8,v,5.63cpd,6pixel,60.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_1_h_B.png,-5.6,-2.8,h,16.9cpd,2pixel,10.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_2_h_B.png,-5.6,-2.8,h,8.45cpd,4pixel,29.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_3_h_B.png,-5.6,-2.8,h,5.63cpd,6pixel,51.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_1_v_B.png,-5.6,0,v,16.9cpd,2pixel,28.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_2_v_B.png,-5.6,0,v,8.45cpd,4pixel,46.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_3_v_B.png,-5.6,0,v,5.63cpd,6pixel,58.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_1_h_B.png,-5.6,0,h,16.9cpd,2pixel,12.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_2_h_B.png,-5.6,0,h,8.45cpd,4pixel,29.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_3_h_B.png,-5.6,0,h,5.63cpd,6pixel,49.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_1_v_B.png,-5.6,2.8,v,16.9cpd,2pixel,25.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_2_v_B.png,-5.6,2.8,v,8.45cpd,4pixel,42.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_3_v_B.png,-5.6,2.8,v,5.63cpd,6pixel,57.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_1_h_B.png,-5.6,2.8,h,16.9cpd,2pixel,13.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_2_h_B.png,-5.6,2.8,h,8.45cpd,4pixel,30.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_3_h_B.png,-5.6,2.8,h,5.63cpd,6pixel,45.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_1_v_B.png,-5.6,5.6,v,16.9cpd,2pixel,21.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_2_v_B.png,-5.6,5.6,v,8.45cpd,4pixel,40.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_3_v_B.png,-5.6,5.6,v,5.63cpd,6pixel,56.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_1_h_B.png,-5.6,5.6,h,16.9cpd,2pixel,12.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_2_h_B.png,-5.6,5.6,h,8.45cpd,4pixel,28.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_3_h_B.png,-5.6,5.6,h,5.63cpd,6pixel,41.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_1_v_B.png,-2.8,-5.6,v,16.9cpd,2pixel,24.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_2_v_B.png,-2.8,-5.6,v,8.45cpd,4pixel,42.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_3_v_B.png,-2.8,-5.6,v,5.63cpd,6pixel,60.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_1_h_B.png,-2.8,-5.6,h,16.9cpd,2pixel,8.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_2_h_B.png,-2.8,-5.6,h,8.45cpd,4pixel,30.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_3_h_B.png,-2.8,-5.6,h,5.63cpd,6pixel,54.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_1_v_B.png,-2.8,-2.8,v,16.9cpd,2pixel,25.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_2_v_B.png,-2.8,-2.8,v,8.45cpd,4pixel,44.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_3_v_B.png,-2.8,-2.8,v,5.63cpd,6pixel,57.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_1_h_B.png,-2.8,-2.8,h,16.9cpd,2pixel,10.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_2_h_B.png,-2.8,-2.8,h,8.45cpd,4pixel,31.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_3_h_B.png,-2.8,-2.8,h,5.63cpd,6pixel,51.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_1_v_B.png,-2.8,0,v,16.9cpd,2pixel,27.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_2_v_B.png,-2.8,0,v,8.45cpd,4pixel,47.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_3_v_B.png,-2.8,0,v,5.63cpd,6pixel,57.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_1_h_B.png,-2.8,0,h,16.9cpd,2pixel,14.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_2_h_B.png,-2.8,0,h,8.45cpd,4pixel,35.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_3_h_B.png,-2.8,0,h,5.63cpd,6pixel,51.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_1_v_B.png,-2.8,2.8,v,16.9cpd,2pixel,27.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_2_v_B.png,-2.8,2.8,v,8.45cpd,4pixel,48.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_3_v_B.png,-2.8,2.8,v,5.63cpd,6pixel,59.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_1_h_B.png,-2.8,2.8,h,16.9cpd,2pixel,17.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_2_h_B.png,-2.8,2.8,h,8.45cpd,4pixel,37.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_3_h_B.png,-2.8,2.8,h,5.63cpd,6pixel,53.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_1_v_B.png,-2.8,5.6,v,16.9cpd,2pixel,27.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_2_v_B.png,-2.8,5.6,v,8.45cpd,4pixel,50.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_3_v_B.png,-2.8,5.6,v,5.63cpd,6pixel,62.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_1_h_B.png,-2.8,5.6,h,16.9cpd,2pixel,18.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_2_h_B.png,-2.8,5.6,h,8.45cpd,4pixel,39.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_3_h_B.png,-2.8,5.6,h,5.63cpd,6pixel,54.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_1_v_B.png,0,-5.6,v,16.9cpd,2pixel,22.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_2_v_B.png,0,-5.6,v,8.45cpd,4pixel,39.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_3_v_B.png,0,-5.6,v,5.63cpd,6pixel,55.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_1_h_B.png,0,-5.6,h,16.9cpd,2pixel,10.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_2_h_B.png,0,-5.6,h,8.45cpd,4pixel,33.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_3_h_B.png,0,-5.6,h,5.63cpd,6pixel,54.0,21,79,
Ver.1,Ver.1,mason,1688636578.0142548,B,capture_1_v_B.png,0,-2.8,v,16.9cpd,2pixel,28.0,21,79,
